HG-IV	Fevi	F4	EGC	date
0.478755	0.478755	0.40316	0.198594	2016-05-08
0.591858	0.591858	0.435502	0.642158	2016-05-16
5.103279	5.103279	0.711763	3.724184	2016-05-24
5.329148	5.329148	0.666096	7.375747	2016-06-01
4.444718	4.444718	1.106137	0.307188	2016-06-09
2.606192	2.606192	1.411194	NA	2016-06-17
0.515443	0.515443	1.76944	3.098221	2016-06-25
1.150266	1.150266	3.201985	0.807166	2016-07-03
0.601908	0.601908	4.573324	0.28593	2016-07-11
0.424372	0.424372	0.770276	0.358385	2016-07-19
0.679898	0.679898	0.835476	0.239052	2016-07-27
0.682835	0.682835	0.545878	0.281489	2016-08-04
0.829381	0.829381	1.291408	0.32499	2016-08-12
0.914283	0.914283	1.00639	0.311804	2016-08-20
NA	NA	NA	NA	2016-08-28
NA	NA	NA	NA	2016-09-05
NA	NA	NA	NA	2016-09-13
NA	NA	NA	NA	2016-09-21
NA	NA	NA	NA	2016-09-29
NA	NA	NA	NA	2016-10-07
NA	NA	NA	NA	2016-10-15
NA	NA	NA	NA	2016-10-23
NA	NA	NA	NA	2016-10-31
NA	NA	NA	NA	2016-11-08
NA	NA	NA	NA	2016-11-16
NA	NA	NA	NA	2016-11-24
NA	NA	NA	NA	2016-12-02
NA	NA	NA	NA	2016-12-10
NA	NA	NA	NA	2016-12-18
NA	NA	NA	NA	2016-12-26
NA	NA	NA	NA	2017-01-01
NA	NA	NA	NA	2017-01-09
NA	NA	NA	NA	2017-01-17
NA	NA	NA	NA	2017-01-25
NA	NA	NA	NA	2017-02-02
NA	NA	NA	NA	2017-02-10
NA	NA	NA	NA	2017-02-18
NA	NA	NA	NA	2017-02-26
NA	NA	NA	NA	2017-03-06
NA	NA	NA	NA	2017-03-14
NA	NA	NA	NA	2017-03-22
NA	NA	NA	NA	2017-03-30
NA	NA	NA	NA	2017-04-07
0.306619	0.306619	0.611356	NA	2017-04-15
0.495054	0.495054	0.40328	NA	2017-04-23
0.782085	0.782085	0.523627	NA	2017-05-01
1.838729	1.838729	0.358	NA	2017-05-09
0.305625	0.305625	0.263712	NA	2017-05-17
4.283005	4.283005	0.503611	0.679895	2017-05-25
4.358634	4.358634	2.866178	0.233051	2017-06-02
1.39145	1.39145	1.268958	NA	2017-06-10
2.038749	2.038749	1.767684	NA	2017-06-18
0.55181	0.55181	1.288594	0.444695	2017-06-26
0.677105	0.677105	1.077174	2.524606	2017-07-04
NA	NA	NA	NA	2017-07-12
0.655185	0.655185	0.858658	0.728997	2017-07-20
0.957887	0.957887	1.098256	0.569549	2017-07-28
0.61738	0.61738	0.99107	0.415949	2017-08-05
0.793074	0.793074	0.967259	0.598128	2017-08-13
0.733911	0.733911	1.402071	0.419424	2017-08-21
NA	NA	NA	0.359318	2017-08-29
NA	NA	NA	NA	2017-09-06
NA	NA	NA	NA	2017-09-14
NA	NA	NA	NA	2017-09-22
NA	NA	NA	NA	2017-09-30
NA	NA	NA	NA	2017-10-08
NA	NA	NA	NA	2017-10-16
NA	NA	NA	NA	2017-10-24
NA	NA	NA	NA	2017-11-01
NA	NA	NA	NA	2017-11-09
NA	NA	NA	NA	2017-11-17
NA	NA	NA	NA	2017-11-25
NA	NA	NA	NA	2017-12-03
NA	NA	NA	NA	2017-12-11
NA	NA	NA	NA	2017-12-19
NA	NA	NA	NA	2017-12-27
NA	NA	NA	NA	2018-01-01
NA	NA	NA	NA	2018-01-09
NA	NA	NA	NA	2018-01-17
NA	NA	NA	NA	2018-01-25
NA	NA	NA	NA	2018-02-02
NA	NA	NA	NA	2018-02-10
