date	HG-IV	Fevi	F4	EGC
2016-05-01	0	0	0	100
2016-05-02	0	0	0	96.878965
2016-05-03	0	0	0	96.321097
2016-05-04	0	0	0	89.569616
2016-05-05	0	0	0	62.52225
2016-05-06	0	0	0	43.232083
2016-05-07	0	0	0	80.040624
2016-05-08	0	0	0	71.225746
2016-05-09	0	0	0	74.103746
2016-05-10	0	0	0	61.951682
2016-05-11	0	0	0	70.750878
2016-05-12	0	0	0	11.193199
2016-05-13	0	0	0	26.274941
2016-05-14	0	0	0	16.049893
2016-05-15	0	0	0	49.190567
2016-05-16	0	0	0	75.611094
2016-05-17	0	0	0	54.958648
2016-05-18	0	0	0	64.057615
2016-05-19	0	0	0	13.694144
2016-05-20	0	0	0	67.23882
2016-05-21	0	0	0	86.05099
2016-05-22	0	0	0	51.026826
2016-05-23	0	0	0	44.437829
2016-05-24	0	0	0	46.988443
2016-05-25	0	0	0	48.606492
2016-05-26	0	0	0	74.957542
2016-05-27	0	0	0	40.648152
2016-05-28	0	0	0	32.769822
2016-05-29	0	0	0	67.181629
2016-05-30	0	0	0	43.347076
2016-05-31	0	0	0	24.618869
2016-06-01	0	0	0	51.697356
2016-06-02	0	0	0	53.865135
2016-06-03	0	0	0	45.54961
2016-06-04	0	0	0	20.978232
2016-06-05	0	0	0	36.716963
2016-06-06	0	0	0	47.7364
2016-06-07	0	0	0	72.441067
2016-06-08	0	0	0	73.162593
2016-06-09	0	0	0	84.609581
2016-06-10	0	0	0	81.938722
2016-06-11	0	0	0	84.929461
2016-06-12	0	0	0	69.303554
2016-06-13	0	0	0	70.780887
2016-06-14	0	0	0	67.390095
2016-06-15	0	0	0	46.371457
2016-06-16	0	0	0	98.459752
2016-06-17	0	0	0	88.791187
2016-06-18	0	0	0	89.62638
2016-06-19	0	0	0	60.628704
2016-06-20	0	0	0	71.652109
2016-06-21	0	0	0	83.26267
2016-06-22	3.572841	3.572841	0	71.225704
2016-06-23	3.186129	3.186129	0	50.883226
2016-06-24	0.634648	0.634648	0	45.450778
2016-06-25	0.597141	0.597141	0	71.753415
2016-06-26	0	0	0	68.690599
2016-06-27	0	0	0	29.874515
2016-06-28	1.839525	1.839525	0	31.08409
2016-06-29	1.415052	1.415052	0	41.194065
2016-06-30	0	0	0	64.288395
2016-07-01	0	0	0	65.20608
2016-07-02	0	0	0	42.243864
2016-07-03	0	0	0	19.321693
2016-07-04	0	0	0	4.50029
2016-07-05	0	0	0	18.280164
2016-07-06	0	0	0	24.640882
2016-07-07	0	0	0	29.201998
2016-07-08	0	0	0	24.870772
2016-07-09	0	0	0	3.781639
2016-07-10	0	0	0	0
2016-07-11	0	0	0	1.257928
2016-07-12	0	0	0	1.088444
2016-07-13	0	0	0	1.544847
2016-07-14	0	0	0	3.598608
2016-07-15	0	0	0	13.153843
2016-07-16	0	0	0	4.457312
2016-07-17	0	0	0	1.843051
2016-07-18	0	0	0	0
2016-07-19	0	0	0	0.815614
2016-07-20	0	0	0	0
2016-07-21	0	0	0	0
2016-07-22	0	0	0	0
2016-07-23	0	0	0	0
2016-07-24	0	0	0	4.652
2016-07-25	0	0	0	10.940393
2016-07-26	0	0	0	12.694491
2016-07-27	0	0	0	36.743674
2016-07-28	0	0	0	52.98281
2016-07-29	0	0	0	54.649618
2016-07-30	0	0	0	30.387409
2016-07-31	0	0	0	3.085143
2016-08-01	0	0	0	4.807688
2016-08-02	0	0	0	8.129987
2016-08-03	0	0	0	21.460011
2016-08-04	0	0	0	35.55445
2016-08-05	0	0	0	20.447324
2016-08-06	0	0	0	34.247628
2016-08-07	0	0	0	5.738575
2016-08-08	0	0	0	10.287641
2016-08-09	0	0	0	16.447621
2016-08-10	0	0	0	5.004387
2016-08-11	0	0	0	3.171463
2016-08-12	0	0	0	3.275082
2016-08-13	0	0	0	0
2016-08-14	0	0	0	0
2016-08-15	0	0	0	0.558805
2016-08-16	0	0	0	2.631757
2016-08-17	0	0	0	10.230773
2016-08-18	0	0	0	17.524812
2016-08-19	0	0	0	18.661284
