date	HG-IV	Fevi	F4	EGC
2016-05-01	22.382113	22.382113	64.876708	-38.396864
2016-05-02	23.414851	23.414851	65.704923	-50.366674
2016-05-03	25.347332	25.347332	69.071476	-50.804384
2016-05-04	25.347332	25.347332	76.009574	-18.840159
2016-05-05	37.917992	37.917992	75.417142	-6.539195
2016-05-06	37.698572	37.698572	75.417142	-3.845592
2016-05-07	33.099209	33.099209	75.417142	-16.160175
2016-05-08	33.099209	33.099209	79.953671	-7.186796
2016-05-09	31.101509	31.101509	75.417142	-6.689921
2016-05-10	25.347332	25.347332	75.417142	-20.705481
2016-05-11	29.270734	29.270734	75.417142	-20.047416
2016-05-12	39.527941	39.527941	75.417142	7.186796
2016-05-13	65.459688	65.459688	79.953671	-3.845592
2016-05-14	73.337106	73.337106	76.009574	7.186796
2016-05-15	74.403482	74.403482	79.953671	-6.689921
2016-05-16	67.269246	67.269246	79.953671	-20.047416
2016-05-17	73.85892	73.85892	79.953671	-11.595707
2016-05-18	85.358459	85.358459	75.417142	-11.595707
2016-05-19	99.699757	99.699757	75.417142	8.510357
2016-05-20	79.776608	79.776608	75.417142	-11.595707
2016-05-21	65.459688	65.459688	66.617712	-15.68695
2016-05-22	62.375593	62.375593	75.417142	-7.186796
2016-05-23	53.762974	53.762974	76.009574	-6.689921
2016-05-24	55.506477	55.506477	76.009574	-3.845592
2016-05-25	53.762974	53.762974	75.417142	-7.399599
2016-05-26	41.826583	41.826583	79.953671	-16.160175
2016-05-27	54.506736	54.506736	79.815974	-6.689921
2016-05-28	48.154775	48.154775	78.708668	-2.327171
2016-05-29	35.059135	35.059135	79.953671	-11.951009
2016-05-30	23.414851	23.414851	68.792576	-6.689921
2016-05-31	29.512435	29.512435	73.361661	-2.327171
2016-06-01	31.101509	31.101509	76.009574	-3.845592
2016-06-02	22.382113	22.382113	72.272008	-10.008535
2016-06-03	31.101509	31.101509	75.417142	-10.008535
2016-06-04	25.347332	25.347332	66.617712	-7.399599
2016-06-05	41.995562	41.995562	75.417142	-3.845592
2016-06-06	65.581034	65.581034	75.417142	-6.689921
2016-06-07	78.00813	78.00813	66.617712	-13.083598
2016-06-08	79.776608	79.776608	79.953671	-16.190114
2016-06-09	65.459688	65.459688	76.009574	-16.190114
2016-06-10	53.762974	53.762974	81.371307	-19.072334
2016-06-11	50.896582	50.896582	76.009574	-29.322438
2016-06-12	51.742267	51.742267	84.205534	-24.264837
2016-06-13	46.598066	46.598066	91.524883	-17.111008
2016-06-14	41.995562	41.995562	75.417142	-11.595707
2016-06-15	37.917992	37.917992	76.009574	-2.327171
2016-06-16	59.547295	59.547295	87.563432	-31.220938
2016-06-17	60.452096	60.452096	79.924957	-25.037491
2016-06-18	64.393147	64.393147	67.346022	-25.037491
2016-06-19	64.393147	64.393147	80.986445	-18.840159
2016-06-20	42.761767	42.761767	79.815974	-34.556229
2016-06-21	17.003417	17.003417	71.241461	-34.556229
2016-06-22	9.762336	9.762336	62.301157	-18.840159
2016-06-23	11.984084	11.984084	45.827885	-12.872374
2016-06-24	16.475805	16.475805	34.662268	-12.694357
2016-06-25	23.076943	23.076943	74.352925	-34.606315
2016-06-26	22.382113	22.382113	72.272008	-6.539195
2016-06-27	23.414851	23.414851	65.704923	-2.327171
2016-06-28	17.491371	17.491371	57.173245	-2.327171
2016-06-29	11.984084	11.984084	58.246633	-3.845592
2016-06-30	20.815319	20.815319	60.055421	-12.694357
2016-07-01	35.701492	35.701492	79.636829	-11.595707
2016-07-02	37.406501	37.406501	77.39976	-6.689921
2016-07-03	25.97838	25.97838	65.704923	7.399599
2016-07-04	43.146923	43.146923	79.924957	14.704675
2016-07-05	45.292277	45.292277	76.009574	6.689921
2016-07-06	35.528445	35.528445	80.986445	-3.845592
2016-07-07	35.059135	35.059135	83.081983	-7.186796
2016-07-08	43.146923	43.146923	91.524883	-2.327171
2016-07-09	56.872331	56.872331	75.417142	14.704675
2016-07-10	77.564248	77.564248	86.10611	18.892631
2016-07-11	88.223956	88.223956	84.205534	19.520834
2016-07-12	113.232776	113.232776	84.205534	16.133143
2016-07-13	126.05989	126.05989	88.696042	15.766072
2016-07-14	131.803529	131.803529	80.986445	14.704675
2016-07-15	118.790111	118.790111	83.347368	10.355592
2016-07-16	118.721352	118.721352	85.105533	18.892631
2016-07-17	120.929195	120.929195	88.696042	15.766072
2016-07-18	125.306501	125.306501	87.563432	23.937334
2016-07-19	138.367604	138.367604	88.696042	21.614212
2016-07-20	132.056536	132.056536	84.685667	21.614212
2016-07-21	121.739683	121.739683	67.346022	18.892631
2016-07-22	119.181731	119.181731	75.891826	27.126395
2016-07-23	118.790111	118.790111	72.420457	24.062424
2016-07-24	112.203226	112.203226	76.009574	14.704675
2016-07-25	105.698667	105.698667	76.009574	2.327171
2016-07-26	105.698667	105.698667	87.563432	8.510357
2016-07-27	100.759555	100.759555	72.420457	-10.008535
2016-07-28	91.558598	91.558598	75.891826	-16.160175
2016-07-29	86.452206	86.452206	72.420457	-10.68472
2016-07-30	79.825	79.825	75.236448	-2.327171
2016-07-31	82.069332	82.069332	79.924957	14.772093
2016-08-01	88.388672	88.388672	76.009574	10.355592
2016-08-02	85.358459	85.358459	80.986445	11.951009
2016-08-03	73.390543	73.390543	79.815974	-3.845592
2016-08-04	66.969874	66.969874	81.371307	-10.355592
2016-08-05	60.452096	60.452096	84.205534	-2.327171
2016-08-06	73.390543	73.390543	75.417142	-3.845592
2016-08-07	73.390543	73.390543	80.90332	14.772093
2016-08-08	82.069332	82.069332	79.815974	8.510357
2016-08-09	96.049397	96.049397	91.524883	8.510357
2016-08-10	99.856378	99.856378	91.524883	14.704675
2016-08-11	99.209128	99.209128	86.10611	14.772093
2016-08-12	94.438234	94.438234	82.984759	10.355592
2016-08-13	99.209128	99.209128	76.009574	20.910163
2016-08-14	105.698667	105.698667	76.009574	27.465226
2016-08-15	92.997242	92.997242	84.205534	23.259348
2016-08-16	89.648414	89.648414	75.417142	14.704675
2016-08-17	74.403482	74.403482	84.205534	12.507608
2016-08-18	66.969874	66.969874	81.371307	7.399599
2016-08-19	66.969874	66.969874	88.696042	2.327171
2016-08-20	60.8889	60.8889	84.518302	10.355592
2016-08-21	66.969874	66.969874	79.815974	19.072334
2016-08-22	60.562017	60.562017	80.986445	27.465226
2016-08-23	66.969874	66.969874	86.10611	33.686451
2016-08-24	60.8889	60.8889	76.009574	21.988975
2016-08-25	54.167259	54.167259	77.377487	6.539195
2016-08-26	54.167259	54.167259	84.205534	14.704675
2016-08-27	60.562017	60.562017	71.206672	10.68472
2016-08-28	41.415776	41.415776	74.699121	-6.689921
2016-08-29	45.292277	45.292277	76.009574	-17.111008
2016-08-30	49.317193	49.317193	91.524883	-15.68695
2016-08-31	54.167259	54.167259	76.009574	-7.186796
2016-09-01	41.826583	41.826583	86.10611	-17.111008
2016-09-02	41.826583	41.826583	80.986445	-17.111008
2016-09-03	35.059135	35.059135	75.891826	-15.68695
2016-09-04	41.415776	41.415776	83.395361	-20.047416
2016-09-05	35.701492	35.701492	80.056208	-12.694357
2016-09-06	29.512435	29.512435	74.352925	-18.902869
2016-09-07	35.059135	35.059135	75.154497	-6.689921
2016-09-08	35.059135	35.059135	75.154497	-2.327171
2016-09-09	28.714563	28.714563	74.352925	-2.327171
2016-09-10	28.714563	28.714563	69.071476	-6.689921
2016-09-11	17.003417	17.003417	68.792576	-2.327171
2016-09-12	9.762336	9.762336	62.301157	3.845592
2016-09-13	-6.266967	-6.266967	49.354364	-10.008535
2016-09-14	3.508839	3.508839	54.586742	-3.845592
2016-09-15	-7.79998	-7.79998	44.79352	8.510357
2016-09-16	-7.563863	-7.563863	44.489598	-2.327171
2016-09-17	-9.159069	-9.159069	40.494588	10.355592
2016-09-18	-6.266967	-6.266967	42.911335	2.327171
2016-09-19	-10.711737	-10.711737	37.174148	10.355592
2016-09-20	3.508839	3.508839	57.173245	18.892631
2016-09-21	20.560712	20.560712	63.070448	21.614212
2016-09-22	22.382113	22.382113	63.070448	18.840159
2016-09-23	16.063782	16.063782	51.854116	-2.327171
2016-09-24	19.966001	19.966001	59.409705	-3.845592
2016-09-25	22.382113	22.382113	68.792576	-7.399599
2016-09-26	19.966001	19.966001	69.071476	-10.008535
2016-09-27	23.414851	23.414851	68.792576	-3.845592
2016-09-28	22.382113	22.382113	69.071476	-11.595707
2016-09-29	35.528445	35.528445	75.417142	-15.68695
2016-09-30	59.547295	59.547295	75.417142	-7.399599
2016-10-01	87.138132	87.138132	78.070265	-17.111008
2016-10-02	95.425724	95.425724	67.346022	-15.68695
