mooring_full	date	NO3_NO2	PO4	NO2	SiO4
EGC-3	2016-07-10	11.31	0.76	0.05	4.47
EGC-3	2016-07-26	NA	NA	NA	NA
EGC-3	2016-08-11	10.95	0.74	0.05	4.34
EGC-3	2016-08-27	12.84	0.81	0	4.44
EGC-3	2016-09-12	NA	NA	NA	NA
EGC-3	2016-09-28	NA	NA	NA	NA
EGC-3	2016-10-14	5.05	0.44	0	2.31
EGC-3	2016-10-30	NA	NA	NA	NA
EGC-3	2016-11-15	NA	0.56	0	2.93
EGC-3	2016-12-01	7.45	0.56	0	3.58
EGC-3	2016-12-17	NA	NA	NA	NA
EGC-3	2017-01-02	13.14	0.81	0	5
EGC-3	2017-01-18	11.72	0.74	0	4.23
EGC-3	2017-02-03	7.8	0.59	0	4.19
EGC-3	2017-02-19	4.91	0.47	0	3.64
EGC-3	2017-03-07	6.5	0.55	0	4.48
EGC-3	2017-03-23	11.83	0.74	0	4.52
EGC-3	2017-04-08	NA	NA	NA	NA
EGC-3	2017-04-24	12.61	0.78	0	4.69
EGC-3	2017-05-10	12.2	0.75	0.01	4.61
EGC-3	2017-05-26	12.03	0.77	0.02	4.54
EGC-3	2017-06-11	10.7	0.75	0	5.69
EGC-3	2017-06-27	12.09	0.76	0.01	4.41
EGC-3	2017-07-13	12.24	0.77	0.07	4.55
F4-S-1	2016-08-01	3.53	0.47	0.02	2.31
F4-S-1	2016-08-15	1.42	0.33	0.01	1.76
F4-S-1	2016-09-01	NA	NA	NA	NA
F4-S-1	2016-09-15	2.21	0.31	0.02	1.12
F4-S-1	2016-10-01	NA	NA	NA	NA
F4-S-1	2016-11-01	8.34	0.57	0.03	2.46
F4-S-1	2016-12-01	11.04	0.71	0	3.75
F4-S-1	2017-01-01	12.11	0.76	0	4.26
F4-S-1	2017-02-01	11.73	0.74	0	4.2
F4-S-1	2017-02-14	12.39	0.78	-0.01	4.4
F4-S-1	2017-03-01	NA	NA	NA	NA
F4-S-1	2017-03-08	12.21	0.76	0	4.36
F4-S-1	2017-03-15	12.31	0.78	0	4.42
F4-S-1	2017-03-22	12.29	0.76	-0.01	4.49
F4-S-1	2017-04-01	12.37	0.77	0	4.51
F4-S-1	2017-04-15	12.47	0.78	0	4.56
F4-S-1	2017-05-01	11.72	0.74	0.01	4.39
F4-S-1	2017-05-15	11.75	0.74	0.01	4.61
F4-S-1	2017-06-01	11.47	0.71	0.02	4.29
F4-S-1	2017-06-15	9.8	0.71	0.04	3.85
F4-S-1	2017-07-01	5.79	0.49	0.02	3.67
F4-S-1	2017-07-08	5.25	0.48	0.01	2.08
F4-S-1	2017-07-15	-0.12	0.21	0	3.02
F4-S-1	2017-07-22	4.49	0.41	0.01	2.61
Fevi-34	2016-08-01	12.71	0.76	0	4.52
Fevi-34	2016-08-15	13.16	0.8	0	4.49
Fevi-34	2016-09-01	NA	NA	NA	NA
Fevi-34	2016-09-15	8.3	0.58	0	2.85
Fevi-34	2016-10-01	NA	NA	NA	NA
Fevi-34	2016-11-01	8.19	0.56	0.05	2.43
Fevi-34	2016-12-01	10.64	0.67	0	3.54
Fevi-34	2017-01-01	10.76	0.69	0	3.86
Fevi-34	2017-02-01	12.21	0.76	0	4.41
Fevi-34	2017-02-14	12.22	0.77	0	4.47
Fevi-34	2017-03-01	NA	NA	NA	NA
Fevi-34	2017-03-08	11.56	0.73	0	4.41
Fevi-34	2017-03-15	12.37	0.76	0	4.5
Fevi-34	2017-03-22	12.18	0.76	0	4.59
Fevi-34	2017-04-01	12.67	0.78	0	4.79
Fevi-34	2017-04-15	12.9	0.8	0	4.92
Fevi-34	2017-05-01	12.27	0.76	0.01	4.71
Fevi-34	2017-05-15	12.28	0.76	0.01	4.65
Fevi-34	2017-06-01	11.42	0.74	0.02	4.55
Fevi-34	2017-06-15	12.76	0.77	0.02	4.75
Fevi-34	2017-07-01	12.59	0.78	0.02	5.53
Fevi-34	2017-07-08	12.68	0.82	0.03	5.11
Fevi-34	2017-07-15	12.77	0.8	0.01	4.99
Fevi-34	2017-07-22	11.22	0.74	0.05	4.92
HG-IV-S-1	2016-08-01	7.17	0.62	0.09	3.89
HG-IV-S-1	2016-08-15	12.07	0.76	0.01	4.4
HG-IV-S-1	2016-09-01	3.14	0.35	0.03	2.19
HG-IV-S-1	2016-09-15	2.9	0.35	0.04	1.94
HG-IV-S-1	2016-10-01	8.42	0.58	0.03	2.77
HG-IV-S-1	2016-11-01	7.9	0.56	0.08	2.51
HG-IV-S-1	2016-12-01	7.75	0.57	0.01	3.02
HG-IV-S-1	2017-01-01	NA	NA	NA	NA
HG-IV-S-1	2017-02-01	12.23	0.78	0	4.69
HG-IV-S-1	2017-02-14	11.76	0.74	0	4.3
HG-IV-S-1	2017-03-01	11.57	0.86	0	4.44
HG-IV-S-1	2017-03-08	9.81	0.68	0	4.28
HG-IV-S-1	2017-03-15	12.12	0.78	0	4.51
HG-IV-S-1	2017-03-22	12.06	0.77	0	4.59
HG-IV-S-1	2017-04-01	12.17	0.79	0	4.83
HG-IV-S-1	2017-04-15	12.31	0.85	0	4.72
HG-IV-S-1	2017-05-01	11.29	0.71	0.01	4.36
HG-IV-S-1	2017-05-15	11.01	0.73	0.01	4.36
HG-IV-S-1	2017-06-01	10.66	0.71	0.02	4.41
HG-IV-S-1	2017-06-15	10.87	0.91	0.07	4.68
HG-IV-S-1	2017-07-01	10.98	0.73	0.06	4.46
HG-IV-S-1	2017-07-08	3.05	0.37	0.01	3.74
HG-IV-S-1	2017-07-15	10.05	0.75	0.08	4.64
HG-IV-S-1	2017-07-22	NA	NA	NA	NA
