study_accession	sample_accession	experiment_accession	run_accession	fastq_ftp	sample_title	
PRJEB43890	SAMEA8401560	ERX5313781	ERR5533374	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533374/ERR5533374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533374/ERR5533374_2.fastq.gz	RAS_HG_07_1617_4	
PRJEB43890	SAMEA8401560	ERX5313782	ERR5533375	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533375/ERR5533375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533375/ERR5533375_2.fastq.gz	RAS_HG_07_1617_4	
PRJEB43890	SAMEA8401562	ERX5313783	ERR5533376	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533376/ERR5533376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533376/ERR5533376_2.fastq.gz	RAS_HG_07_1617_3	
PRJEB43890	SAMEA8401562	ERX5313784	ERR5533377	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533377/ERR5533377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533377/ERR5533377_2.fastq.gz	RAS_HG_07_1617_3	
PRJEB43890	SAMEA8401565	ERX5313785	ERR5533378	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533378/ERR5533378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533378/ERR5533378_2.fastq.gz	RAS_HG_07_1617_2	
PRJEB43890	SAMEA8401565	ERX5313786	ERR5533379	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533379/ERR5533379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533379/ERR5533379_2.fastq.gz	RAS_HG_07_1617_2	
PRJEB43890	SAMEA8401568	ERX5313787	ERR5533380	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533380/ERR5533380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533380/ERR5533380_2.fastq.gz	RAS_HG_07_1617_1	
PRJEB43890	SAMEA8401603	ERX5313789	ERR5533381	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533381/ERR5533381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533381/ERR5533381_2.fastq.gz	RAS_HG_02_1617_1	
PRJEB43890	SAMEA8401603	ERX5313790	ERR5533382	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533382/ERR5533382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533382/ERR5533382_2.fastq.gz	RAS_HG_02_1617_1	
PRJEB43890	SAMEA8401608	ERX5313791	ERR5533383	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533383/ERR5533383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533383/ERR5533383_2.fastq.gz	RAS_HG_01_1617	
