study_accession	sample_accession	experiment_accession	run_accession	fastq_ftp	sample_title
PRJEB43885	SAMEA8401571	ERX5313584	ERR5533175	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533175/ERR5533175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533175/ERR5533175_2.fastq.gz	RAS_HG_04_1718_2
PRJEB43885	SAMEA8401576	ERX5313585	ERR5533176	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533176/ERR5533176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533176/ERR5533176_2.fastq.gz	RAS_HG_04_1718_1
PRJEB43885	SAMEA8401579	ERX5313586	ERR5533177	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533177/ERR5533177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533177/ERR5533177_2.fastq.gz	RAS_HG_03_1718_3
PRJEB43885	SAMEA8401582	ERX5313587	ERR5533178	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533178/ERR5533178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533178/ERR5533178_2.fastq.gz	RAS_HG_03_1718_2
PRJEB43885	SAMEA8401587	ERX5313588	ERR5533179	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533179/ERR5533179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533179/ERR5533179_2.fastq.gz	RAS_HG_02_1718_2
PRJEB43885	SAMEA8401593	ERX5313589	ERR5533180	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533180/ERR5533180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533180/ERR5533180_2.fastq.gz	RAS_HG_01_1718
PRJEB43885	SAMEA8401595	ERX5313590	ERR5533181	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533181/ERR5533181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533181/ERR5533181_2.fastq.gz	RAS_HG_12_1718
PRJEB43885	SAMEA8401598	ERX5313591	ERR5533182	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533182/ERR5533182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533182/ERR5533182_2.fastq.gz	RAS_HG_11_1718
PRJEB43885	SAMEA8401601	ERX5313592	ERR5533183	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533183/ERR5533183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533183/ERR5533183_2.fastq.gz	RAS_HG_10_1718
PRJEB43885	SAMEA8401604	ERX5313593	ERR5533184	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533184/ERR5533184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533184/ERR5533184_2.fastq.gz	RAS_HG_09_1718_2
